ds,y
2013-12-10,17.7
2013-12-11,17.2
2013-12-12,17.3
2013-12-13,17.4
2013-12-16,17.5
2013-12-17,17.8
2013-12-18,17.8
2013-12-19,18.2
2013-12-20,18.0
2013-12-23,18.1
2013-12-24,18.1
2013-12-25,18.1
2013-12-26,17.7
2013-12-27,17.7
2013-12-30,17.1
2013-12-31,17.7
2014-01-02,17.6
2014-01-03,17.5
2014-01-06,18.0
2014-01-07,18.2
2014-01-08,18.1
2014-01-09,18.8
2014-01-10,18.6
2014-01-13,18.6
2014-01-14,19.4
2014-01-15,20.7
2014-01-16,20.9
2014-01-17,20.6
2014-01-20,20.1
2014-01-21,22.1
2014-01-22,22.5
2014-01-23,23.2
2014-01-24,22.9
2014-01-27,23.2
2014-02-06,23.4
2014-02-07,22.9
2014-02-10,24.1
2014-02-11,23.0
2014-02-12,23.7
2014-02-13,23.4
2014-02-14,23.4
2014-02-17,24.1
2014-02-18,24.2
2014-02-19,24.6
2014-02-20,22.7
2014-02-21,23.8
2014-02-24,23.9
2014-02-25,23.9
2014-02-26,23.6
2014-02-27,23.1
2014-02-28,23.1
2014-03-03,22.0
2014-03-04,22.4
2014-03-05,22.7
2014-03-06,24.3
2014-03-07,24.3
2014-03-10,24.4
2014-03-11,25.7
2014-03-12,25.9
2014-03-13,25.5
2014-03-14,24.9
2014-03-17,25.0
2014-03-18,25.0
2014-03-19,25.0
2014-03-20,25.0
2014-03-21,25.1
2014-03-24,25.7
2014-03-25,24.8
2014-03-26,23.6
2014-03-27,23.5
2014-03-28,23.4
2014-03-31,23.8
2014-04-01,23.2
2014-04-02,23.0
2014-04-03,23.2
2014-04-04,22.8
2014-04-07,23.0
2014-04-08,24.0
2014-04-10,23.4
2014-04-11,23.0
2014-04-14,22.6
2014-04-15,21.5
2014-04-16,20.8
2014-04-17,21.5
2014-04-18,20.4
2014-04-21,19.5
2014-04-22,20.0
2014-04-23,19.5
2014-04-24,19.4
2014-04-25,19.5
2014-04-28,19.4
2014-04-29,19.6
2014-05-05,18.3
2014-05-06,18.2
2014-05-07,18.0
2014-05-08,16.2
2014-05-09,16.8
2014-05-12,15.5
2014-05-13,15.7
2014-05-14,16.6
2014-05-15,16.2
2014-05-16,16.7
2014-05-19,16.8
2014-05-20,18.0
2014-05-21,18.5
2014-05-22,17.9
2014-05-23,17.8
2014-05-26,17.9
2014-05-27,18.3
2014-05-28,19.4
2014-05-29,18.9
2014-05-30,18.5
2014-06-02,18.0
2014-06-03,18.1
2014-06-04,17.9
2014-06-05,18.1
2014-06-06,18.4
2014-06-09,18.4
2014-06-10,18.5
2014-06-11,18.8
2014-06-12,18.6
2014-06-13,18.7
2014-06-16,18.6
2014-06-17,18.6
2014-06-18,17.9
2014-06-19,17.8
2014-06-20,17.7
2014-06-23,17.6
2014-06-24,17.8
2014-06-25,18.1
2014-06-26,18.2
2014-06-27,18.0
2014-06-30,18.0
2014-07-01,18.1
2014-07-02,18.7
2014-07-03,19.2
2014-07-04,19.2
2014-07-07,19.2
2014-07-08,19.8
2014-07-09,20.3
2014-07-10,19.7
2014-07-11,19.4
2014-07-14,19.6
2014-07-15,19.7
2014-07-16,19.6
2014-07-17,19.6
2014-07-18,19.6
2014-07-21,19.3
2014-07-22,19.3
2014-07-23,19.2
2014-07-24,19.5
2014-07-25,19.0
2014-07-28,18.5
2014-07-29,18.5
2014-07-30,18.3
2014-07-31,18.4
2014-08-01,18.3
2014-08-04,18.4
2014-08-05,18.7
2014-08-06,18.7
2014-08-07,18.7
2014-08-08,19.3
2014-08-11,19.2
2014-08-12,19.0
2014-08-13,20.9
2014-08-14,21.5
2014-08-15,21.0
2014-08-18,21.3
2014-08-19,20.7
2014-08-20,20.6
2014-08-21,20.4
2014-08-22,20.0
2014-08-25,20.4
2014-08-26,17.1
2014-08-27,16.5
2014-08-28,16.8
2014-08-29,16.8
2014-09-03,16.9
2014-09-04,16.6
2014-09-05,16.7
2014-09-08,17.4
2014-09-09,16.7
2014-09-10,16.8
2014-09-11,16.7
2014-09-12,16.8
2014-09-15,16.7
2014-09-16,16.7
2014-09-17,16.5
2014-09-18,16.7
2014-09-19,16.6
2014-09-22,16.3
2014-09-23,16.1
2014-09-24,16.2
2014-09-25,16.2
2014-09-26,16.0
2014-09-29,15.8
2014-09-30,15.7
2014-10-01,16.1
2014-10-02,16.5
2014-10-03,16.7
2014-10-06,16.7
2014-10-07,16.3
2014-10-08,16.4
2014-10-09,16.4
2014-10-10,16.1
2014-10-13,16.3
2014-10-14,15.9
2014-10-15,15.9
2014-10-16,15.3
2014-10-17,15.6
2014-10-20,15.5
2014-10-21,15.6
2014-10-22,15.7
2014-10-23,15.5
2014-10-24,15.5
2014-10-27,15.2
2014-10-28,15.1
2014-10-29,15.5
2014-10-30,15.4
2014-10-31,15.6
2014-11-03,15.8
2014-11-04,15.6
2014-11-05,15.6
2014-11-06,16.2
2014-11-07,16.2
2014-11-10,16.2
2014-11-11,15.8
2014-11-12,16.1
2014-11-13,16.1
2014-11-14,15.8
2014-11-17,15.8
2014-11-18,16.0
2014-11-19,15.9
2014-11-20,16.0
2014-11-21,16.3
2014-11-24,16.5
2014-11-25,16.5
2014-11-26,16.2
2014-11-27,16.7
2014-11-28,17.7
2014-12-01,17.7
2014-12-02,17.9
2014-12-03,17.8
2014-12-04,17.5
2014-12-05,17.4
2014-12-08,17.6
2014-12-09,16.3
2014-12-10,17.0
2014-12-11,16.6
2014-12-12,16.7
2014-12-15,16.7
2014-12-16,16.1
2014-12-17,15.6
2014-12-18,14.1
2014-12-19,13.2
2014-12-22,14.3
2014-12-23,13.7
2014-12-24,13.8
2014-12-25,13.6
2014-12-26,13.5
2014-12-29,13.1
2014-12-30,13.4
2014-12-31,13.9
2015-01-05,13.8
2015-01-06,14.0
2015-01-07,14.5
2015-01-08,14.2
2015-01-09,13.9
2015-01-12,13.5
2015-01-13,13.8
2015-01-14,13.8
2015-01-15,13.7
2015-01-16,13.7
2015-01-19,13.6
2015-01-20,13.4
2015-01-21,13.4
2015-01-22,13.5
2015-01-23,13.5
2015-01-26,13.6
2015-01-27,13.3
2015-01-28,13.2
2015-01-29,13.3
2015-01-30,13.0
2015-02-02,13.0
2015-02-03,12.9
2015-02-04,13.0
2015-02-05,12.9
2015-02-06,13.0
2015-02-09,13.0
2015-02-10,13.0
2015-02-11,12.9
2015-02-12,13.0
2015-02-13,13.0
2015-02-24,13.1
2015-02-25,13.1
2015-02-26,13.0
2015-02-27,13.6
2015-03-02,13.3
2015-03-03,13.5
2015-03-04,13.5
2015-03-05,13.7
2015-03-06,13.6
2015-03-09,13.4
2015-03-10,13.4
2015-03-11,13.3
2015-03-12,13.3
2015-03-13,13.2
2015-03-16,13.0
2015-03-17,13.1
2015-03-18,12.9
2015-03-19,13.1
2015-03-20,13.1
2015-03-23,13.0
2015-03-24,13.1
2015-03-25,13.0
2015-03-26,13.0
2015-03-27,12.8
2015-03-30,12.4
2015-03-31,12.6
2015-04-01,12.3
2015-04-02,12.5
2015-04-03,12.4
2015-04-06,12.4
2015-04-07,12.5
2015-04-08,12.7
2015-04-09,13.0
2015-04-10,12.8
2015-04-13,12.5
2015-04-14,12.5
2015-04-15,12.6
2015-04-16,12.4
2015-04-17,13.0
2015-04-20,13.0
2015-04-21,13.0
2015-04-22,13.0
2015-04-23,12.9
2015-04-24,13.0
2015-04-27,13.0
2015-05-04,13.0
2015-05-05,12.9
2015-05-06,12.7
2015-05-07,13.0
2015-05-08,13.0
2015-05-11,13.0
2015-05-12,13.1
2015-05-13,13.5
2015-05-14,13.7
2015-05-15,13.6
2015-05-18,13.0
2015-05-19,12.7
2015-05-20,13.0
2015-05-21,12.9
2015-05-22,13.0
2015-05-25,13.3
2015-05-26,13.2
2015-05-27,13.1
2015-05-28,13.3
2015-05-29,13.3
2015-06-01,13.2
2015-06-02,13.0
2015-06-03,13.1
2015-06-04,13.0
2015-06-05,13.2
2015-06-08,14.2
2015-06-09,13.7
2015-06-10,13.7
2015-06-11,13.7
2015-06-12,13.4
2015-06-15,13.2
2015-06-16,13.0
2015-06-17,13.3
2015-06-18,13.6
2015-06-19,13.3
2015-06-22,13.2
2015-06-23,13.1
2015-06-24,13.2
2015-06-25,13.0
2015-06-26,13.0
2015-06-29,13.0
2015-06-30,13.0
2015-07-01,13.0
2015-07-02,13.1
2015-07-03,13.4
2015-07-06,13.3
2015-07-07,13.5
2015-07-08,13.4
2015-07-09,13.3
2015-07-10,13.5
2015-07-13,13.8
2015-07-14,13.8
2015-07-15,13.8
2015-07-16,13.7
2015-07-17,13.6
2015-07-20,13.3
2015-07-21,13.5
2015-07-22,13.7
2015-07-23,13.7
2015-07-24,13.4
2015-07-27,13.7
2015-07-28,13.6
2015-07-29,13.5
2015-07-30,13.5
2015-07-31,13.5
2015-08-03,13.5
2015-08-04,13.5
2015-08-05,13.5
2015-08-06,13.5
2015-08-07,13.4
2015-08-10,13.3
2015-08-11,13.2
2015-08-12,13.2
2015-08-13,12.9
2015-08-14,12.9
2015-08-17,12.9
2015-08-18,12.8
2015-08-19,13.6
2015-08-20,13.4
2015-08-21,13.2
2015-08-24,12.0
2015-08-25,12.3
2015-08-26,12.7
2015-08-27,12.4
2015-08-28,12.5
2015-08-31,12.4
2015-09-01,12.0
2015-09-03,12.1
2015-09-04,12.3
2015-09-07,12.3
2015-09-08,12.2
2015-09-09,12.2
2015-09-10,12.0
2015-09-11,12.3
2015-09-14,12.3
2015-09-15,12.1
2015-09-16,12.3
2015-09-17,12.3
2015-09-18,12.4
2015-09-21,12.3
2015-09-22,12.4
2015-09-23,12.3
2015-09-24,12.8
2015-09-25,13.3
2015-09-28,10.6
2015-09-29,10.3
2015-09-30,10.3
2015-10-01,10.2
2015-10-02,10.5
2015-10-05,10.7
2015-10-06,10.8
2015-10-07,10.8
2015-10-08,10.6
2015-10-09,10.7
2015-10-12,10.7
2015-10-13,10.8
2015-10-14,10.8
2015-10-15,10.6
2015-10-16,10.2
2015-10-19,10.4
2015-10-20,10.3
2015-10-21,10.3
2015-10-22,10.4
2015-10-23,10.4
2015-10-26,10.4
2015-10-27,10.1
2015-10-28,10.2
2015-10-29,10.3
2015-10-30,11.3
2015-11-02,11.7
2015-11-03,11.3
2015-11-04,11.0
2015-11-05,10.9
2015-11-06,11.1
2015-11-09,11.3
2015-11-10,11.2
2015-11-11,10.9
2015-11-12,10.6
2015-11-13,10.7
2015-11-16,10.5
2015-11-17,10.5
2015-11-18,10.6
2015-11-19,11.0
2015-11-20,11.2
2015-11-23,11.4
2015-11-24,11.2
2015-11-25,11.3
2015-11-26,11.3
2015-11-27,11.1
2015-11-30,10.8
2015-12-01,11.0
2015-12-02,11.0
2015-12-03,10.8
2015-12-04,11.2
2015-12-07,11.2
2015-12-08,11.4
2015-12-09,11.3
2015-12-10,11.0
2015-12-11,11.1
2015-12-14,11.1
2015-12-15,11.2
2015-12-16,11.2
2015-12-17,11.3
2015-12-18,11.2
2015-12-21,11.0
2015-12-22,10.9
2015-12-23,10.9
2015-12-24,10.8
2015-12-25,10.9
2015-12-28,11.3
2015-12-29,11.5
2015-12-30,12.5
2015-12-31,12.3
2016-01-04,12.6
2016-01-05,13.5
2016-01-06,13.2
2016-01-07,13.2
2016-01-08,13.1
2016-01-11,13.8
2016-01-12,14.3
2016-01-13,13.9
2016-01-14,14.5
2016-01-15,14.9
2016-01-18,14.4
2016-01-19,14.5
2016-01-20,14.7
2016-01-21,15.7
2016-01-22,15.5
2016-01-25,15.5
2016-01-26,14.0
2016-01-27,14.1
2016-01-28,14.2
2016-01-29,13.6
2016-02-01,14.2
2016-02-02,14.4
2016-02-03,14.2
2016-02-04,14.3
2016-02-05,14.2
2016-02-15,14.8
2016-02-16,14.8
2016-02-17,15.0
2016-02-18,15.1
2016-02-19,15.0
2016-02-22,14.8
2016-02-23,14.5
2016-02-24,14.6
2016-02-25,14.7
2016-02-26,14.6
2016-02-29,14.4
2016-03-01,14.5
2016-03-02,15.0
2016-03-03,14.9
2016-03-04,14.9
2016-03-07,15.0
2016-03-08,14.9
2016-03-09,14.9
